playerId,playerName,nationality,club,overall
1,Lionel Andrés Messi Cuccittini,Argentina,FC Barcelona,94
2,Cristiano Ronaldo dos Santos Aveiro,Portugal,Juventus,93
3,Neymar da Silva Santos Junior,Brazil,Paris Saint-Germain,92
4,Jan Oblak,Slovenia,Atlético Madrid,91
5,Eden Hazard,Belgium,Real Madrid,91
6,Kevin De Bruyne,Belgium,Manchester City,91
7,Marc-André ter Stegen,Germany,FC Barcelona,90
8,Virgil van Dijk,Netherlands,Liverpool,90
9,Luka Modrić,Croatia,Real Madrid,90
10,Mohamed  Salah Ghaly,Egypt,Liverpool,90
11,Kylian Mbappé,France,Paris Saint-Germain,89
12,Kalidou Koulibaly,Senegal,Napoli,89
13,Harry Kane,England,Tottenham Hotspur,89
14,Alisson Ramses Becker,Brazil,Liverpool,89
15,David De Gea Quintana,Spain,Manchester United,89
16,N'Golo Kanté,France,Chelsea,89
17,Giorgio Chiellini,Italy,Juventus,89
18,Sergio Leonel Agüero del Castillo,Argentina,Manchester City,89
19,Sergio Ramos García,Spain,Real Madrid,89
20,Luis Alberto Suárez Díaz,Uruguay,FC Barcelona,89
21,Robert Lewandowski,Poland,FC Bayern München,89
22,Sergio Busquets i Burgos,Spain,FC Barcelona,89
23,Antoine Griezmann,France,FC Barcelona,89
24,Paulo Bruno Exequiel Dybala,Argentina,Juventus,88
25,Paul Pogba,France,Manchester United,88
26,Ederson Santana de Moraes,Brazil,Manchester City,88
27,Raheem Sterling,England,Manchester City,88
28,Christian  Dannemann Eriksen,Denmark,Tottenham Hotspur,88
29,Thibaut Courtois,Belgium,Real Madrid,88
30,Gerard Piqué Bernabéu,Spain,FC Barcelona,88
31,Samir Handanovič,Slovenia,Inter,88
32,Manuel Neuer,Germany,FC Bayern München,88
33,Hugo Lloris,France,Tottenham Hotspur,88
34,David Josué Jiménez Silva,Spain,Manchester City,88
35,Edinson Roberto Cavani Gómez,Uruguay,Paris Saint-Germain,88
36,Diego Godín,Uruguay,Inter,88
37,Toni Kroos,Germany,Real Madrid,88
38,Marco Reus,Germany,Borussia Dortmund,88
39,Pierre-Emerick Aubameyang,Gabon,Arsenal,88
40,Sadio Mané,Senegal,Liverpool,88
41,Aymeric  Laporte,France,Manchester City,87
42,Bernardo Mota Veiga de Carvalho e Silva,Portugal,Manchester City,87
43,Carlos Henrique Venancio Casimiro,Brazil,Real Madrid,87
44,손흥민 孙兴慜,Korea Republic,Tottenham Hotspur,87
45,Fernando Luiz Rosa,Brazil,Manchester City,87
46,Thiago Emiliano da Silva,Brazil,Paris Saint-Germain,87
47,Karim Benzema,France,Real Madrid,87
48,Jan Vertonghen,Belgium,Tottenham Hotspur,87
49,Dries Mertens,Belgium,Napoli,87
50,Mats  Hummels,Germany,Borussia Dortmund,87
51,Toby Alderweireld,Belgium,Tottenham Hotspur,87
52,Jordi Alba Ramos,Spain,FC Barcelona,87
53,Thiago Alcântara do Nascimento,Spain,FC Bayern München,87
